Category,Metric,p_Sup,p_Sub,p_Int,eta_Sup,eta_Sub,eta_Int,F_Sup,F_Sub,F_Int,df_Sup,df_Sub,df_Int,df_Err,dir_Sup,dir_Sub,dir_Int
Organization_Level,Ave P,0.1508825994417075,0.20087758011945325,0.34222457407531526,0.021373077550358673,0.016984453711406194,0.009401225983646363,2.0966268122876173,1.6586793184004334,0.9110829915232174,1.0,1.0,1.0,96.0,-1,-1,0
Organization_Level,Ave CT,0.025726969337301776,0.19210175212630035,0.9832957284684052,0.05075159713305814,0.01765782440354532,4.590162875243991e-06,5.13264316279974,1.72562187072045,0.0004406576587138489,1.0,1.0,1.0,96.0,-1,-1,0
Organization_Level,Ave RD,0.006352534590875108,0.4544156964305588,0.7711259487370905,0.07501740406081611,0.005842605321403494,0.0008857125173774537,7.785736533265372,0.5641864294899369,0.08510377915070545,1.0,1.0,1.0,96.0,-1,-1,0
Organization_Level,Ave CGT,0.6335411141067215,0.06671726983588562,0.6326368370180113,0.002377127486862038,0.03459067304919506,0.002389795231935294,0.22874800190164077,3.4396856545927506,0.2299699232919599,1.0,1.0,1.0,96.0,1,1,0
Organization_Level,Ave CCU,0.13756198034468411,0.029192900439352635,0.4111339150550273,0.02282417685757822,0.04858163831977239,0.007048424428171672,2.242299621455285,4.901983676730499,0.681451907375047,1.0,1.0,1.0,96.0,-1,-1,0
Organization_Level,CC-Ave P,0.20650959213711673,0.18956834807289916,0.16537023512713217,0.016570029912720382,0.017858836785016166,0.01994887471160616,1.6175253144664479,1.7456231299270686,1.9540735405519267,1.0,1.0,1.0,96.0,-1,-1,0
Organization_Level,CC-Ave CT,0.055042567934440734,0.3270041852775727,0.8676835287079006,0.03780792853051327,0.010009339418120843,0.00029059349456739026,3.7721794291924544,0.9706117667562865,0.027905084514494728,1.0,1.0,1.0,96.0,-1,-1,0
Organization_Level,CC-Ave RD,0.010370358667802362,0.2706900732827935,0.6225722495772977,0.06648132153561007,0.012623555379011213,0.0025335935072423117,6.836721122620818,1.2273548989213103,0.24384277516721353,1.0,1.0,1.0,96.0,-1,-1,0
Organization_Level,CC-Ave CGT,0.5104468496678829,0.25111271723541384,0.8511485865980706,0.004525271131439243,0.013696712263589915,0.0003686566686163924,0.43640086083544116,1.3331440680100777,0.035404092141838074,1.0,1.0,1.0,96.0,1,1,0
Organization_Level,CC-Ave CCU,0.09485309657942445,0.03783065628372767,0.46572002097332155,0.0287914809333222,0.044152421688587094,0.005556276493256481,2.845920433497733,4.434422996177142,0.5363828346883875,1.0,1.0,1.0,96.0,-1,-1,0
Organization_Level,CCH-P,0.5444810763575878,0.05963673337292464,0.02894538072064593,0.0038386013059268876,0.03646363557853311,0.04872764077402425,0.3699257227313537,3.6329806998420637,4.917470237559061,1.0,1.0,1.0,96.0,1,1,0
Organization_Level,CCH-CT,0.5879873225799797,0.3222080273450423,0.1995596509461871,0.0030685182680878238,0.01020873591630436,0.01708338239877707,0.2954844531789466,0.990146795114922,1.6685084786591344,1.0,1.0,1.0,96.0,-1,1,0
Organization_Level,CCH-RD,0.1480018838271973,0.08140676748370025,0.9118682804173649,0.021674497628498685,0.0312957014876821,0.00012826824913264159,2.1268501815520966,3.101449376689514,0.0123153315827532,1.0,1.0,1.0,96.0,1,1,0
Organization_Level,CCH-CGT,0.7294918008278857,0.07488429487040357,0.5690090713598177,0.0012513322678387887,0.032674028114199484,0.003390453195509451,0.12027840596302945,3.242657377272881,0.3265907975821938,1.0,1.0,1.0,96.0,1,-1,0
Organization_Level,CCH-CCU,0.3542140216290879,0.48335695192789263,0.44945161972225744,0.008947042405125553,0.00513100068695425,0.005971888513948343,0.8666702059761808,0.49511650909590144,0.576745557509402,1.0,1.0,1.0,96.0,-1,-1,0
Organization_Level,CCTF-P,0.02622961485837997,0.8942980018244877,0.10061005821131815,0.050418997240688476,0.00018483721675498178,0.02783333392412605,5.097220480444822,0.017747653235306197,2.748499974290994,1.0,1.0,1.0,96.0,1,-1,0
Organization_Level,CCTF-CT,0.44615396935297924,0.841148148496616,0.5990646923046262,0.0060590002359445765,0.00042053619622417797,0.0028901059299580017,0.5852098090216183,0.04038845964671226,0.2782543538340205,1.0,1.0,1.0,96.0,-1,1,0
Organization_Level,CCTF-RD,0.01991826251958846,0.2473605059080735,0.1315848971433871,0.05516194314187582,0.013914054984573867,0.023526696395956496,5.604713424890392,1.3545972187020625,2.3129796233811457,1.0,1.0,1.0,96.0,1,1,0
Organization_Level,CCTF-CGT,0.6418988420302308,0.6678600374680087,0.895383948623408,0.0022619842389049387,0.0019260258440594196,0.00018103730586175134,0.21764279149895602,0.1852552875011802,0.01738272828502538,1.0,1.0,1.0,96.0,1,1,0
Organization_Level,CCTF-CCU,0.06603058321615832,0.13823763815767987,0.7747021228726516,0.03476295606493165,0.022746888104488102,0.0008574996086491499,3.457434423183965,2.234529858692678,0.0823906123481633,1.0,1.0,1.0,96.0,-1,-1,0
Organization_Level,CCC Score,0.7962147075162219,0.8954680363857278,0.4019056118379717,0.0006980979523291037,0.00018074474300114218,0.007330128207503851,0.06706422081882213,0.017354632086626028,0.7088885518905592,1.0,1.0,1.0,96.0,-1,1,0
Department_Level,ID-Ave P,0.13555502551295665,0.183919488499905,0.32438998099340866,0.011330172395380233,0.008990825901768437,0.004955252774184621,2.2461632058449084,1.778189266865394,0.9760661984779817,1.0,1.0,1.0,196.0,-1,-1,0
Department_Level,ID-Ave CT,0.02909714307433573,0.19558222020304725,0.9573177881914865,0.024062876717299193,0.008531434763567703,1.4651325786745785e-05,4.832610343509249,1.6865499041419583,0.00287170192844269,1.0,1.0,1.0,196.0,-1,-1,0
Department_Level,ID-Ave RD,0.0020323692469400374,0.5179500882132515,0.6320260550802823,0.047528735762663255,0.0021356788199686375,0.001172317312819909,9.780486361382478,0.4194889423632692,0.23004387773327714,1.0,1.0,1.0,196.0,-1,-1,0
Department_Level,ID-Ave DGT,0.31438698393267234,0.0846422989056062,0.8347099108371492,0.005163864881149335,0.015094176846248393,0.00022269059509441114,1.017371083514527,3.0037985280576884,0.043657078659331314,1.0,1.0,1.0,196.0,1,1,0
Department_Level,ID-Ave CDU,0.20201024775119594,0.030107727873673565,0.24015768671835752,0.016900031331284798,0.04805280038324075,0.01434264759860642,1.650293011401832,4.845929310625914,1.3969298419086895,1.0,1.0,1.0,96.0,-1,-1,0
Department_Level,IDIH-P,0.05800254244420914,0.10382858754699593,0.6179367787215471,0.018213533783399082,0.013441891885381363,0.0012717083868998503,3.6360784594056956,2.6705074823921646,0.2495722269264904,1.0,1.0,1.0,196.0,1,1,0
Department_Level,IDIH-CT,0.16865104332445907,0.9701344212570223,0.14281284007117676,0.009645675976469831,7.169929902982947e-06,0.01092390685175646,1.9089657565257105,0.0014053163370042854,2.1647330855295057,1.0,1.0,1.0,196.0,-1,-1,0
Department_Level,IDIH-RD,0.041508951600824934,0.13202412052890705,0.1465588086039505,0.021029353566706308,0.011536661286703241,0.010723141177065028,4.210293040032727,2.2875766086957436,2.124517168232804,1.0,1.0,1.0,196.0,1,1,0
Department_Level,IDIH-DGT,0.6327444675591685,0.29244194191303247,0.6837913778440226,0.0011673825632892401,0.005653219744374028,0.0008481751168923174,0.22907439986478917,1.114330625792802,0.1663834452089833,1.0,1.0,1.0,196.0,-1,-1,0
Department_Level,IDIH-CDU,0.31901772758804653,0.4103181765456624,0.8220652511428594,0.010343528804373394,0.007072954137284903,0.0005294364977967661,1.0033570174307105,0.683840368744706,0.05085282713118896,1.0,1.0,1.0,96.0,-1,-1,0
