pattern_id,node_id,community_G1_formal,community_G2_actual,degree_centrality,betweenness_centrality,neighbors_G2,is_leader_G1_formal
1,0,0,0,0.3076923076923077,0.008547008547008546,"1,2,3,6",0
1,1,0,0,0.3076923076923077,0.008547008547008546,"0,2,4,6",0
1,2,0,0,0.3076923076923077,0.008547008547008546,"0,1,5,6",0
1,3,0,0,0.3076923076923077,0.008547008547008546,"0,4,5,6",0
1,4,0,0,0.3076923076923077,0.008547008547008546,"1,3,5,6",0
1,5,0,0,0.3076923076923077,0.008547008547008546,"2,3,4,6",0
1,6,0,0,0.46153846153846156,0.025641025641025637,"0,1,2,3,4,5",1
1,7,1,1,0.3076923076923077,0.008547008547008546,"8,9,10,13",0
1,8,1,1,0.3076923076923077,0.008547008547008546,"7,9,11,13",0
1,9,1,1,0.3076923076923077,0.008547008547008546,"7,8,12,13",0
1,10,1,1,0.3076923076923077,0.008547008547008546,"7,11,12,13",0
1,11,1,1,0.3076923076923077,0.008547008547008546,"8,10,12,13",0
1,12,1,1,0.3076923076923077,0.008547008547008546,"9,10,11,13",0
1,13,1,1,0.46153846153846156,0.025641025641025637,"7,8,9,10,11,12",1
2,0,0,0,0.3076923076923077,0.008547008547008546,"1,2,3,6",0
2,1,0,0,0.3076923076923077,0.008547008547008546,"0,2,4,6",0
2,2,0,0,0.3076923076923077,0.008547008547008546,"0,1,5,6",0
2,3,0,0,0.3076923076923077,0.008547008547008546,"0,4,5,6",0
2,4,0,0,0.3076923076923077,0.008547008547008546,"1,3,5,6",0
2,5,0,0,0.3076923076923077,0.008547008547008546,"2,3,4,6",0
2,6,0,0,0.5384615384615385,0.5641025641025641,"0,1,2,3,4,5,13",1
2,7,1,1,0.3076923076923077,0.008547008547008546,"8,9,10,13",0
2,8,1,1,0.3076923076923077,0.008547008547008546,"7,9,11,13",0
2,9,1,1,0.3076923076923077,0.008547008547008546,"7,8,12,13",0
2,10,1,1,0.3076923076923077,0.008547008547008546,"7,11,12,13",0
2,11,1,1,0.3076923076923077,0.008547008547008546,"8,10,12,13",0
2,12,1,1,0.3076923076923077,0.008547008547008546,"9,10,11,13",0
2,13,1,1,0.5384615384615385,0.5641025641025642,"6,7,8,9,10,11,12",1
3,0,0,0,0.38461538461538464,0.547008547008547,"1,2,3,6,7",0
3,1,0,0,0.3076923076923077,0.03846153846153845,"0,2,4,6",0
3,2,0,0,0.3076923076923077,0.03846153846153845,"0,1,5,6",0
3,3,0,0,0.3076923076923077,0.06837606837606836,"0,4,5,6",0
3,4,0,0,0.3076923076923077,0.008547008547008546,"1,3,5,6",0
3,5,0,0,0.3076923076923077,0.008547008547008546,"2,3,4,6",0
3,6,0,0,0.46153846153846156,0.08547008547008543,"0,1,2,3,4,5",1
3,7,1,1,0.38461538461538464,0.547008547008547,"0,8,9,10,13",0
3,8,1,1,0.3076923076923077,0.038461538461538464,"7,9,11,13",0
3,9,1,1,0.3076923076923077,0.038461538461538464,"7,8,12,13",0
3,10,1,1,0.3076923076923077,0.06837606837606837,"7,11,12,13",0
3,11,1,1,0.3076923076923077,0.008547008547008546,"8,10,12,13",0
3,12,1,1,0.3076923076923077,0.008547008547008546,"9,10,11,13",0
3,13,1,1,0.46153846153846156,0.08547008547008547,"7,8,9,10,11,12",1
4,0,0,0,0.38461538461538464,0.13034188034188035,"1,2,3,6,7",0
4,1,0,0,0.3076923076923077,0.011752136752136752,"0,2,4,6",0
4,2,0,0,0.3076923076923077,0.011752136752136752,"0,1,5,6",0
4,3,0,0,0.3076923076923077,0.014957264957264958,"0,4,5,6",0
4,4,0,0,0.3076923076923077,0.008547008547008546,"1,3,5,6",0
4,5,0,0,0.3076923076923077,0.008547008547008546,"2,3,4,6",0
4,6,0,0,0.5384615384615385,0.37820512820512814,"0,1,2,3,4,5,13",1
4,7,1,1,0.38461538461538464,0.13034188034188035,"0,8,9,10,13",0
4,8,1,1,0.3076923076923077,0.011752136752136752,"7,9,11,13",0
4,9,1,1,0.3076923076923077,0.011752136752136752,"7,8,12,13",0
4,10,1,1,0.3076923076923077,0.014957264957264958,"7,11,12,13",0
4,11,1,1,0.3076923076923077,0.008547008547008546,"8,10,12,13",0
4,12,1,1,0.3076923076923077,0.008547008547008546,"9,10,11,13",0
4,13,1,1,0.5384615384615385,0.37820512820512814,"6,7,8,9,10,11,12",1
