run_id,pattern_id,agent_id,dept_id,is_proximal,has_informal,sum_interaction,psychological_safety,psych_leader,psych_colleague,psych_team,task_cohesion,output_score_ave,output_score_dept0,output_score_dept1,position,sum_active_interaction,sum_passive_interaction
1,1,0,0,0,0,0,5.508894516320353,5.589866681023215,5.579978155975493,5.100116196349778,5.691404827276084,3.7971045355,3.773598298,3.820610773,General Member,0,0
1,1,1,0,0,0,0,5.39303430352761,5.506041648592781,5.460604537379291,4.896348389344835,5.631930847944401,3.7971045355,3.773598298,3.820610773,General Member,0,0
1,1,2,0,0,0,0,5.27096928000679,5.31665862460624,5.5504602890582895,4.481755558421606,5.73278755517174,3.7971045355,3.773598298,3.820610773,General Member,0,0
1,1,3,0,0,0,0,5.181251122321619,5.349967602923252,5.259142666110163,4.4933547450101194,5.621096938613498,3.7971045355,3.773598298,3.820610773,General Member,0,0
1,1,4,0,0,0,0,5.351931270420597,5.490461663290823,5.453453667166411,4.699454499403015,5.5120946756291,3.7971045355,3.773598298,3.820610773,General Member,0,0
1,1,5,0,0,0,0,5.346424585730615,5.48667141469027,5.5429981456608015,4.467012459014542,5.668432809435186,3.7971045355,3.773598298,3.820610773,General Member,0,0
1,1,6,0,0,0,0,5.3935417522127995,5.447588478255489,5.530301770351702,4.912294865093965,5.659213381612714,3.7971045355,3.773598298,3.820610773,Department Leader,0,0
1,1,7,1,0,0,0,5.094595205246904,5.429780955543406,5.1135910641419375,4.044714283602317,5.367225292969692,3.7971045355,3.773598298,3.820610773,General Member,0,0
1,1,8,1,0,0,0,5.108635647991623,5.281088979840222,5.157669623586796,4.476863042723753,5.3991834832490895,3.7971045355,3.773598298,3.820610773,General Member,0,0
1,1,9,1,0,0,0,5.320725229434,5.28990057417015,5.514395850522692,4.961301079351935,5.665391031522024,3.7971045355,3.773598298,3.820610773,General Member,0,0
1,1,10,1,0,0,0,5.419107401945822,5.485057759324256,5.394692492593427,5.27822445163277,5.606666697344844,3.7971045355,3.773598298,3.820610773,General Member,0,0
1,1,11,1,0,0,0,5.428134918780531,5.519381134240987,5.539925470793947,4.893551651034522,5.738112343540737,3.7971045355,3.773598298,3.820610773,General Member,0,0
1,1,12,1,0,0,0,4.871109970374324,5.081612461678606,4.904317230708692,4.162118889014619,5.027514614558581,3.7971045355,3.773598298,3.820610773,General Member,0,0
1,1,13,1,0,0,0,5.019179919238094,5.258085782396028,4.88651734298325,4.61200834102559,5.308642263777427,3.7971045355,3.773598298,3.820610773,Department Leader,0,0
2,2,0,0,1,0,0,5.413982708769906,5.5204790058303,5.527677315998206,4.829206400722686,5.753874414848517,3.7717007044999997,3.788186879,3.75521453,General Member,0,0
2,2,1,0,1,0,0,5.360732504722474,5.460351525482742,5.396391562908059,4.978670973341972,5.719708139176678,3.7717007044999997,3.788186879,3.75521453,General Member,0,0
2,2,2,0,1,0,0,5.241355115146993,5.242866299414359,5.487012228235368,4.6636216318053485,5.3692022805621935,3.7717007044999997,3.788186879,3.75521453,General Member,0,0
2,2,3,0,1,0,0,4.923003491100798,4.997298019325397,4.9940824907224055,4.534268907309917,5.650111758863369,3.7717007044999997,3.788186879,3.75521453,General Member,0,0
2,2,4,0,1,0,0,5.116982564432579,4.935600545185796,5.39434383035651,5.013952335017082,5.7327624452811,3.7717007044999997,3.788186879,3.75521453,General Member,0,0
2,2,5,0,1,0,0,4.786566973093759,4.843764476611474,4.96418144342617,4.200540698431654,4.663982607949822,3.7717007044999997,3.788186879,3.75521453,General Member,0,0
2,2,6,0,1,0,0,5.271054950728033,5.399622050483847,5.4351310139019375,4.502509504054813,5.648192547106438,3.7717007044999997,3.788186879,3.75521453,Department Leader,0,0
2,2,7,1,1,0,0,5.17605171054166,5.38581900930166,5.173561340717466,4.552560677184779,5.2966266366726735,3.7717007044999997,3.788186879,3.75521453,General Member,0,0
2,2,8,1,1,0,0,4.986104160954288,4.831419522706968,5.3337441041211155,4.638998208306985,4.325465111664188,3.7717007044999997,3.788186879,3.75521453,General Member,0,0
2,2,9,1,1,0,0,5.4388009235359815,5.49425368844928,5.538194135189608,5.040525134937626,5.643859571732911,3.7717007044999997,3.788186879,3.75521453,General Member,0,0
2,2,10,1,1,0,0,5.2809894884409445,5.389226307019807,5.431591001630576,4.604875501928548,5.378738877774594,3.7717007044999997,3.788186879,3.75521453,General Member,0,0
2,2,11,1,1,0,0,5.027032217865546,5.0080486438322644,5.330935981450663,4.374874158266786,5.447670553498443,3.7717007044999997,3.788186879,3.75521453,General Member,0,0
2,2,12,1,1,0,0,4.9313252846531075,5.116361759235036,4.890948192248072,4.470429076519077,5.568945621264435,3.7717007044999997,3.788186879,3.75521453,General Member,0,0
