run_id,pattern_id,turn,agent_id,dept_id,position,psychological_safety,psych_leader,psych_colleague,psych_team,task_cohesion,active_interaction,passive_interaction,interaction
1,1,1,0,0,General Member,5.44914783055021,5.54685913681063,5.450089046883102,5.153817740325536,5.597209626895538,0,0,0
1,1,1,1,0,General Member,5.454982572664651,5.615440631630488,5.3611956857662335,5.1924444651967825,5.6272909694765305,0,0,0
1,1,1,2,0,General Member,5.260016476170736,5.251540446811672,5.478778849481371,4.774999026523113,5.717735466815698,0,0,0
1,1,1,3,0,General Member,5.198830103022098,5.442478097955142,5.13249871717217,4.622659351872795,5.619658066672097,0,0,0
1,1,1,4,0,General Member,5.242198082982749,5.177157214675717,5.466801147395535,4.913246870940678,5.8130917138179115,0,0,0
1,1,1,5,0,General Member,5.425623714560364,5.6136674467924506,5.508971040196853,4.6670154247122975,5.699219898979116,0,0,0
1,1,1,6,0,Department Leader,5.419516890916897,5.516628073769587,5.644409176729119,4.603434675463642,5.646206292198968,0,0,0
1,1,1,7,1,General Member,5.04229402415844,5.3317931554879925,5.087538338609361,4.06822656311763,5.557853822120954,0,0,0
1,1,1,8,1,General Member,5.163972696243815,5.4476333325607795,5.120239826890896,4.415034149116401,5.696304045737316,0,0,0
1,1,1,9,1,General Member,5.3959092312344925,5.415966452320234,5.603966064270945,4.850271624225545,5.846647197280647,0,0,0
1,1,1,10,1,General Member,5.067114216741183,4.949175329204406,5.373709096947224,4.705542825537415,5.065454337485711,0,0,0
1,1,1,11,1,General Member,5.411744378561113,5.48063013177798,5.4558126617338285,5.102261124840844,5.807275702197312,0,0,0
1,1,1,12,1,General Member,5.257522798436256,5.345843027231975,5.273762895129418,4.954668553098381,5.5701224316827105,0,0,0
1,1,1,13,1,Department Leader,5.1900725958546134,5.141557150644447,5.498036431953496,4.617036647254381,5.259527358213228,0,0,0
1,1,2,0,0,General Member,5.510322922513628,5.596721360090904,5.54803499431757,5.163132775572602,5.660943391456007,0,0,0
1,1,2,1,0,General Member,5.377277371422415,5.5614506424262435,5.4839134235420985,4.5759401034649905,5.579305918909689,0,0,0
1,1,2,2,0,General Member,5.1199967830904,5.149005100603692,5.475408952340989,4.203676768965811,5.77236849957984,0,0,0
1,1,2,3,0,General Member,5.158308786131539,5.13135644875038,5.613905809448072,4.176106077203108,5.691126770561218,0,0,0
1,1,2,4,0,General Member,5.36028022988328,5.489678220379901,5.462864187679074,4.732723690203234,5.58433654769226,0,0,0
1,1,2,5,0,General Member,5.269293438491972,5.428821785340434,5.505138118609138,4.2404041443398635,5.699420916279159,0,0,0
1,1,2,6,0,Department Leader,5.409559763088823,5.493051915022634,5.39326061252379,5.197114658605805,5.533592278132566,0,0,0
1,1,2,7,1,General Member,5.068804504045391,5.237470581049648,5.215132432835465,4.221374439189121,5.339296042567221,0,0,0
1,1,2,8,1,General Member,5.151653059007019,5.411070432126581,4.978071478383602,4.778424627769632,5.412205478031354,0,0,0
1,1,2,9,1,General Member,5.361210400561338,5.355386502293059,5.557009673884509,4.921817124278777,5.751822138941346,0,0,0
1,1,2,10,1,General Member,5.339245517448823,5.426766654802773,5.293843668160565,5.182619753726243,5.641293108806768,0,0,0
1,1,2,11,1,General Member,5.384287732419568,5.526652767324937,5.4238779164363065,4.864815531664399,5.694799107803654,0,0,0
1,1,2,12,1,General Member,5.1010155545630855,5.4912329174915175,4.684626557839254,4.90193779146673,5.399626269079395,0,0,0
1,1,2,13,1,Department Leader,4.998876425927345,5.195873689596414,4.880548522323559,4.6839830766623,5.561896606922022,0,0,0
1,1,3,0,0,General Member,5.50746611012708,5.583012001955527,5.611921317633414,5.037099617126954,5.721866263096163,0,0,0
1,1,3,1,0,General Member,5.408791235632805,5.450632654759318,5.437295651216483,5.216756675224681,5.684555776979112,0,0,0
1,1,3,2,0,General Member,5.4219417769231795,5.484312148608788,5.62551162577559,4.759834347877401,5.6932066107636405,0,0,0
1,1,3,3,0,General Member,5.204193458511699,5.568578757096124,4.9043795227722535,4.81060341281713,5.551067106665778,0,0,0
1,1,3,4,0,General Member,5.343582310957912,5.491245106201746,5.444043146653747,4.666185308602796,5.439852803565939,0,0,0
1,1,3,5,0,General Member,5.423555732969258,5.544521044040106,5.580858172712466,4.693620773689221,5.637444702591212,0,0,0
1,1,3,6,0,Department Leader,5.377523741336777,5.402125041488344,5.6673429281796155,4.627475071582125,5.784834485092862,0,0,0
1,1,3,7,1,General Member,5.120385906448416,5.622091330037165,5.01204969544841,3.868054128015513,5.395154543372163,0,0,0
1,1,3,8,1,General Member,5.065618236976226,5.151107527553862,5.33726776878999,4.175301457677874,5.386161488466826,0,0,0
1,1,3,9,1,General Member,5.280240058306663,5.224414646047241,5.471782027160875,5.0007850344250935,5.5789599241027,0,0,0
1,1,3,10,1,General Member,5.49896928644282,5.543348863845741,5.49554131702629,5.373829149539297,5.5720402858829186,0,0,0
1,1,3,11,1,General Member,5.471982105141494,5.512109501157037,5.655973025151588,4.922287770404645,5.781425579277821,0,0,0
1,1,3,12,1,General Member,4.641204386185562,4.671992005865694,5.124007903578131,3.4222999865625074,4.655402960037767,0,0,0
1,1,3,13,1,Department Leader,5.039483412548843,5.320297875195641,4.892486163642941,4.540033605388881,5.055387920632832,0,0,0
1,1,4,0,0,General Member,5.196108811822521,5.13859178761248,5.467127235122725,4.736283563418836,5.834314133923123,0,0,0
1,1,4,1,0,General Member,5.447215652024447,5.569033462621848,5.564062733992761,4.8091190289728445,5.819871875972516,0,0,0
1,1,4,2,0,General Member,5.210554140743438,5.183157463387266,5.479054889757644,4.6662424251121495,5.73779636462621,0,0,0
1,1,4,3,0,General Member,5.267320633873086,5.545919701372136,5.156736946127103,4.689552036116564,5.700394480225151,0,0,0
1,1,4,4,0,General Member,5.208944579750197,5.319512481561745,5.241659334915531,4.800906445596438,5.70388037714708,0,0,0
1,1,4,5,0,General Member,5.2257258296449765,5.5311291808833545,5.440037604283135,3.809454968440805,5.7492094071674655,0,0,0
1,1,4,6,0,Department Leader,5.437440528845858,5.5526113972414715,5.432522738481656,5.10340276784216,5.565770927423323,0,0,0
1,1,4,7,1,General Member,5.312325614453224,5.414776561158451,5.305886684029898,5.019996945325306,5.555679831978292,0,0,0
1,1,4,8,1,General Member,5.353192681159723,5.371346608193431,5.457053564753187,5.0563888383405216,5.600998825706967,0,0,0
1,1,4,9,1,General Member,5.383282445118173,5.591519743942035,5.304033609195689,4.943484499132386,5.832357807640406,0,0,0
1,1,4,10,1,General Member,5.262404482727442,5.335425200346517,5.391914579023013,4.741152105180544,5.661217262841575,0,0,0
1,1,4,11,1,General Member,5.50268467813908,5.599633837733796,5.612676957735914,4.95518854696232,5.660642649134885,0,0,0
1,1,4,12,1,General Member,4.857675393541581,4.690931555747102,5.049295670522862,4.910792927302034,5.509192424406916,0,0,0
1,1,4,13,1,Department Leader,5.270260867223119,5.187514299762135,5.68829026953802,4.543098630871296,4.833613505443367,0,0,0
1,1,5,0,0,General Member,5.443127027871163,5.685784455150785,5.362433610120277,4.903439387451023,5.556278852782498,0,0,0
1,1,5,1,0,General Member,5.110283556737383,5.117799718587405,5.109871473985526,5.088696597608313,5.832122842156438,0,0,0
1,1,5,2,0,General Member,5.096160371480285,4.984502612513003,5.298073854174005,4.9600021887634576,5.589323560167321,0,0,0
1,1,5,3,0,General Member,5.035597249855167,5.120784492540677,5.100736745939591,4.628043364268314,5.703403281266598,0,0,0
1,1,5,4,0,General Member,5.265986224024268,5.576533896572843,5.435938596895376,3.937787669679295,5.564274958816677,0,0,0
1,1,5,5,0,General Member,5.380530456305739,5.6000453408106425,5.585028382580179,4.2448239748173355,5.601019959882272,0,0,0
1,1,5,6,0,Department Leader,5.21547195674181,5.39809746708752,5.546478728908191,3.8952462906497884,5.744607547451189,0,0,0
1,1,5,7,1,General Member,5.369943160287798,5.3964362793031295,5.519737057015273,4.9409447108777025,5.671473744712763,0,0,0
1,1,5,8,1,General Member,5.3016821994480345,5.580787192338053,5.138493184384649,4.845141589259211,5.28654976417031,0,0,0
1,1,5,9,1,General Member,5.063341800617757,5.134895555654682,5.231434350465646,4.456464585861912,5.6234854107661025,0,0,0
1,1,5,10,1,General Member,5.112473010812178,5.017783005056498,5.3318056393941005,4.884766894721396,5.73744761008283,0,0,0
1,1,5,11,1,General Member,5.299100936304467,5.35437872212822,5.630854793310418,4.359175245819326,5.518262167115646,0,0,0
1,1,5,12,1,General Member,5.044386813200991,4.933551006787989,5.386406167697649,4.578849071947797,5.763482254199506,0,0,0
1,1,5,13,1,Department Leader,5.283208478679518,5.326634954101261,5.407234141961205,4.863535838090353,4.523975699776188,0,0,0
1,1,6,0,0,General Member,5.358646680746274,5.446734151530044,5.407098713055481,4.981329526340151,5.7450929454605255,0,0,0
1,1,6,1,0,General Member,5.013415985938498,5.003938571087821,5.460686050468429,3.998218079920696,5.341427219095251,0,0,0
1,1,6,2,0,General Member,4.596854776597425,4.769176161283132,4.668930315884837,3.9117143642030094,4.384619419768927,0,0,0
1,1,6,3,0,General Member,5.080696409461658,5.183753635857901,5.101839121623363,4.722191735228945,5.095076367703981,0,0,0
1,1,6,4,0,General Member,5.179955080430814,5.16039371401439,5.313636096107325,4.926716809768223,5.860807300178278,0,0,0
1,1,6,5,0,General Member,5.326754896191711,5.586748805403738,5.507092047267761,4.125986482711511,5.316170818264345,0,0,0
1,1,6,6,0,Department Leader,4.9549510107059564,5.037045269338135,4.926766160985077,4.774432884158135,5.791083954839289,0,0,0
1,1,6,7,1,General Member,5.394063240616765,5.367351722243242,5.650993551742595,4.874693736443725,5.501580894029371,0,0,0
1,1,6,8,1,General Member,4.944207857047475,4.874141260511754,5.344750238874442,4.219808755725048,4.716883724397516,0,0,0
1,1,6,9,1,General Member,5.183596065824762,5.304385975304331,5.155507930320324,4.886765320229738,5.289894699666134,0,0,0
1,1,6,10,1,General Member,5.053884468554922,4.904564108643399,5.370328715806768,4.763475638035183,5.654446434678745,0,0,0
1,1,6,11,1,General Member,5.551537336175008,5.601484958144594,5.689893866440614,5.07886256631317,5.804302390357041,0,0,0
1,1,6,12,1,General Member,5.345109786465976,5.4209504177438586,5.424667165713072,4.93195400772243,5.5960352291167155,0,0,0
1,1,6,13,1,Department Leader,5.195004873372688,5.262030201873025,5.290585754479802,4.770906831955073,5.390038205770969,0,0,0
1,1,7,0,0,General Member,5.318978308192139,5.494210273426922,5.4032884223585596,4.5965588127661405,5.64590137128042,0,0,0
1,1,7,1,0,General Member,5.278792238551568,5.426809298154426,5.455976763813774,4.421310500797851,5.559135818435896,0,0,0
1,1,7,2,0,General Member,5.266220917026871,5.285676587844317,5.483468203593636,4.700943569252078,5.6573147604342235,0,0,0
1,1,7,3,0,General Member,5.0256609475663945,5.040124587418813,5.647450486814018,3.53142776976469,5.660203881537854,0,0,0
1,1,7,4,0,General Member,5.158197508996258,5.2720798031749005,5.13102560034548,4.879951746645479,5.4578360548040585,0,0,0
1,1,7,5,0,General Member,4.9414166592466415,5.114094950893249,5.267837867278091,3.661732298900104,5.687350360190868,0,0,0
1,1,7,6,0,Department Leader,4.895069945923791,5.473924249179155,4.518745516065368,4.036597372494025,5.583846608416422,0,0,0
1,1,7,7,1,General Member,4.981994168438196,4.746542206046363,5.497318884166354,4.485925718914659,5.118647729009103,0,0,0
1,1,7,8,1,General Member,4.998241638603096,4.9900444617354145,5.153168325150927,4.661337567261203,4.940594275185075,0,0,0
1,1,7,9,1,General Member,5.453974254946553,5.588170331383243,5.643261574997238,4.609715612184892,5.485085933972838,0,0,0
1,1,7,10,1,General Member,5.369258427372427,5.612301637293764,5.196247239149052,5.0438215701296185,5.826869229430736,0,0,0
1,1,7,11,1,General Member,5.115715075777898,5.101006006809304,5.324338290397821,4.673054781903861,5.626848893605349,0,0,0
1,1,7,12,1,General Member,5.351328742155191,5.46709281369508,5.383455764687952,4.9290734749590825,5.705636595272324,0,0,0
1,1,7,13,1,Department Leader,4.882692058520289,4.884053971788979,5.460479914868268,3.530434653902267,4.199183367286485,0,0,0
1,1,8,0,0,General Member,5.339358064753306,5.536672355322166,5.30171764946578,4.835242828717617,5.753465377986167,0,0,0
1,1,8,1,0,General Member,4.978893801019276,5.250015862749531,5.040471820534923,4.021845570292001,4.8380314971575915,0,0,0
1,1,8,2,0,General Member,5.32490144261861,5.531226791470148,5.325254872274361,4.705100726867243,5.558486626449751,0,0,0
