run_id,pattern_id,Ave P,CC-Ave P,CCH-P,CCTF-P,Ave CT,CC-Ave CT,CCH-CT,CCTF-CT,Ave RD,CC-Ave RD,CCH-RD,CCTF-RD,Ave CGT,CC-Ave CGT,CCH-CGT,CCTF-CGT,Ave CCU,CC-Ave CCU,CCH-CCU,CCTF-CCU,CCC Score
1,1,3.6456835202652798,3.5935790060539454,0.2432284531544807,0.23658416117810055,4.09893648889913,4.084881456006608,0.10830415435455472,0.07674878182498476,3.3662599036829204,3.1783286020940236,0.4184418910437923,0.3588664089152201,3.796557562108716,3.880869977623308,0.41195502024958447,0.2621024759761628,2.679733222496764,2.6566221240635537,0.16965866844343752,0.17777040565236168,0.11916666666666667
2,2,3.8460141967555606,3.79044274662449,0.24754912412825675,0.3142555304409883,4.088041567003642,4.069886984057735,0.04251232600794198,0.07332406341742335,3.398881987481279,3.3836223928380584,0.30170813070924124,0.42216401171500006,3.5848358276964802,3.7739224304770578,0.47104617016587924,0.4435921247769781,2.6937604818864913,2.6795554890622455,0.08329435983691356,0.42744778744954753,0.3200892857142857
3,3,3.927677290578371,3.9271910830603036,0.06438162539790128,0.1407942852588832,4.084552823754903,4.0847782854139805,0.05837388739981005,0.03849029596285029,3.571543446154303,3.5517572187231936,0.150358755262926,0.25070816304625554,3.264374734600822,3.2621390487595248,0.25737861628943104,0.1934455124532446,2.946159147379244,2.941429010979514,0.1342385279820749,0.29716110008941654,0.359375
4,4,3.7599103028940837,3.7241256871051034,0.14234925132051265,0.25856220891784126,4.024943497508302,4.01577689199722,0.18659640765911079,0.12018937998455317,3.2478186036979597,3.302538413112108,0.2581870976683057,0.3948939719417984,3.83264661828602,3.926669250260553,0.30842931021231584,0.43699841331023864,2.638840639544578,2.612483358985016,0.12272485933937682,0.4594798728564363,0.18333333333333332
5,1,3.868983911313753,3.8592746669550464,0.14523083017356705,0.14919180636662202,4.121006430707372,4.1169982734493855,0.09165386275842766,0.06876241863182783,3.2342570528679513,3.226130820617029,0.23201009495299668,0.3592832914940126,3.6196772644692152,3.6190921150479167,0.5620768441025381,0.21557453030678256,2.8746346147371895,2.8880717740048887,0.1601651338653847,0.3741126923847103,0.20416666666666666
6,2,3.6936122136596823,3.6866638740580604,0.19088273078467227,0.2634294240368389,4.009956425973638,4.005698278051067,0.24553454338428837,0.11547660257719333,3.3808952372776453,3.3097659062987796,0.3970112256229777,0.2972359419073806,3.634647759230576,3.843542096590062,0.5840461014949702,0.17376353640091344,2.831499650903352,2.7838927175766046,0.18030329965554698,0.14424514838409064,0.20374999999999996
7,3,3.984229405908391,3.9679693544009114,0.07946334268325585,0.08838248812851861,4.129804732460005,4.133390538176077,0.05227026806884272,0.03596725984438451,3.321546264809771,3.321681336295864,0.2554198258209864,0.29403265174429244,3.7864982180039806,3.8312592307180418,0.28104087899784197,0.3078628997308495,2.7462377806134035,2.7517056992894657,0.0819564366465911,0.2874193283591221,0.24791666666666665
8,4,3.853459651707817,3.8336874776118695,0.10776684286412576,0.19375182480055378,4.096004868575686,4.097309898504142,0.10814117078269012,0.08522943481772174,3.4179884916580057,3.2938610688504317,0.2516479659179894,0.29630211416410435,3.7057900795265803,3.8568142192311563,0.3072744030628678,0.24794428947163505,2.8009845080489533,2.750377447589077,0.10492615753923434,0.2780220776055071,0.24456845238095237
9,1,4.032422596481415,4.0480595810120015,0.0600060704194183,0.032544980613763125,4.174128058305253,4.178234438046532,0.018482966524973776,0.033943918772493954,3.570969994028202,3.572633693529178,0.13763782665395702,0.1669867557956814,3.579323576699531,3.5757436260390625,0.22403332998684355,0.39937837851072416,2.771467167016481,2.7805787675384472,0.10986454644265797,0.3057886839610075,0.30848214285714287
10,2,3.5544322672860664,3.443482197802544,0.33899882240933116,0.3347591419488535,4.001689397310557,3.994504971674428,0.16708120613196337,0.15740099841295355,3.322533235241206,3.4056825345161243,0.17827167892329526,0.22432595448310585,3.5916718907720195,3.79240151061912,0.5674143917135828,0.24113122131454695,2.749040115649077,2.70416727970902,0.1358504460692594,0.24928903957504897,0.08750000000000001
11,3,3.8859615691437197,3.866093754064983,0.11967783571167917,0.09176858482159403,4.0698108246905464,4.042052640640899,0.14235601665372305,0.0768922248892288,3.5165032756901105,3.514521409699096,0.22931879547601636,0.149929888463911,3.851126303081636,3.9186720314736925,0.34873700867267077,0.23656105926410315,2.77584497156883,2.7898450257351697,0.1021226131228279,0.5636377937519261,0.25636904761904755
12,4,3.774557817543496,3.74046634256053,0.20126236476628015,0.22383806388397234,4.140514633519037,4.143786049635361,0.05492344366123576,0.05680136337274873,3.344426038376582,3.319847199722312,0.3747680864047649,0.4999993539289816,3.9017977659949117,4.052090281805549,0.4111884767955449,0.17339682399819245,2.6925049656778555,2.6330931819896324,0.17645948219658908,0.30280884422752286,0.15999999999999998
13,1,3.916765245785871,3.923633281049374,0.0638390314610942,0.0859437067024572,4.115674143282177,4.121036889976647,0.06462165195998645,0.0684871842343008,3.459574592460085,3.482629023896743,0.16752160290669832,0.15058192064939122,3.5102766782642933,3.545652247184165,0.43543177669434047,0.3278686262589029,3.000804481301998,3.0023290720811677,0.07592408191383178,0.26192990260396115,0.30104166666666665
14,2,3.9106649537589075,3.9055788313712814,0.07944158501730014,0.11848299668381422,4.121249875895454,4.12247427448946,0.010474946844959712,0.06909327541580364,3.373680900397567,3.388253087499312,0.19109966032784134,0.24476692299556646,3.759394929833591,3.7659407500610036,0.10462754494019848,0.293727869675599,2.7301325845958706,2.7215388647861865,0.191957473457615,0.17988644181979793,0.2786458333333333
15,3,3.9883377244021028,3.986811120705772,0.04825453708284068,0.06377471318572088,4.0886599597370425,4.087139010107609,0.023663979430546263,0.07317379518457202,3.508046734957863,3.523340459795398,0.10905116754391067,0.2578563708887809,3.419457116910581,3.6039277687869955,0.6225113439499709,0.311478031395583,2.9095913079021085,2.86126337093553,0.16284782160961045,0.22092897969222258,0.22916666666666666
16,4,3.84233930803655,3.7795855204144337,0.1716595103897866,0.2553583673636926,4.083480019372886,4.08806547541562,0.08659160275686927,0.06874424090879648,3.2487626575733337,3.274775594544504,0.06829781157478218,0.4855597731151563,3.7879066339478027,3.893210581004218,0.3110485897227361,0.30656344362973004,2.7255557903944663,2.7188150935105346,0.03775393942071421,0.30329043770333747,0.12098214285714284
17,1,3.87196313166757,3.9029377233325433,0.17351460555025738,0.13303507207031562,4.135019816881058,4.1324649908270485,0.03137754387354077,0.08822523967918669,3.549955658540294,3.547822087026999,0.030076042457649332,0.19841607669457995,3.3632854436166464,3.4247034843460393,0.2505109621203754,0.4189485796097292,2.9072863863971725,2.8713166852558047,0.12473771776451426,0.41487334871616144,0.18968253968253967
18,2,3.9744960465234307,3.9330179935684795,0.15846828693494183,0.14487622955527948,4.101382424652168,4.086148332686964,0.0756253431569103,0.06352822159439389,3.3665610944791955,3.334997421971574,0.23599120337182677,0.3636522265137996,3.6207822800997227,3.638541066943949,0.14794068439715774,0.3298393128003584,2.8160346512645007,2.812019404882867,0.04914756844026761,0.302454513815539,0.15208333333333332
19,3,3.7801986885776304,3.7245202493998115,0.46724142222900356,0.22094869660334,4.0670961261024825,4.06146846887347,0.1588757742792981,0.06268231606441545,3.4803058800295577,3.428528430005014,0.20364094785820833,0.3034736401723297,3.683893859820261,3.764590397163263,0.3541741083646131,0.3979752213056223,2.7669030923319755,2.7851598353871037,0.13302328631090282,0.17444112201800252,0.2233333333333333
20,4,3.6634181988183947,3.6320934574623673,0.27173169109499934,0.26196798031231733,3.994158427220391,3.995827960895261,0.06605451481539887,0.1230929973779766,3.3592916316793597,3.3117418960191576,0.3146555817839105,0.3115600850039886,3.896081462279695,3.9473365407490633,0.3138167021159499,0.3674817500891553,2.7264477298560466,2.7195256552648117,0.09985715705362606,0.2836547731418833,0.21354166666666666
21,1,3.9823441394001615,3.9676544199891404,0.07008223978330307,0.13874000568921752,4.13536210236027,4.129289175866549,0.02537941037374698,0.039029407792767826,3.484992759694039,3.519620080769066,0.10315455598598489,0.40182315552199055,3.44935076786319,3.511047172110936,0.3967862927124745,0.2600927481154822,3.1233071364301006,3.1064531807523728,0.1637676754659092,0.14836647225820718,0.2790178571428571
22,2,3.8968405262579715,3.865572743414269,0.1931858743155565,0.19397235016365605,4.112980111695999,4.086729414756415,0.14804135514491143,0.07190554834222515,3.334890953681517,3.317083498813566,0.10868324435158846,0.2602658989183074,3.785806770973708,3.8545012158565286,0.376776405091174,0.3158162647607553,2.6442708326487567,2.6455563872810086,0.08248222995883733,0.2960227596020774,0.3165922619047619
23,3,3.8485019606998248,3.804314767167692,0.20607600512941626,0.22890014793285637,4.133818215534977,4.126713149593848,0.019413293892009013,0.06286484145146305,3.4412884477953782,3.4169232947207098,0.14253391057088924,0.2804777270604627,3.469227286332933,3.5431365691086816,0.5101009389514533,0.3051757767263423,3.175041529477587,3.1680752082283785,0.20872407685013383,0.3342619838244972,0.14583333333333331
24,4,3.690767235703722,3.677919996185443,0.24381781712644893,0.23052200327640834,4.062887251075319,4.056057055321099,0.07038995331023315,0.08433200023713222,3.3556853147845724,3.345031689578794,0.23111690738246202,0.3527417261305637,3.88771471650653,3.947601006435546,0.3598559793649845,0.22418559101033578,2.8827682694037455,2.86704363911881,0.15127061168204864,0.2305109556210607,0.18055555555555555
25,1,3.9480348156508387,3.944784191383504,0.0669166641170958,0.15694233173733188,4.134375217713239,4.136214464640072,0.026793713748629728,0.05865595676488292,3.424810094903236,3.4163515064859347,0.06799744609707718,0.37799858674434444,3.5495784957496364,3.549025032875154,0.16390590427094856,0.40230792890288347,2.8490247369706756,2.849329073407084,0.06026164434172178,0.22123550831672403,0.3287946428571429
26,2,3.7879866695530717,3.7748462358042496,0.10554550303445223,0.24984372620257464,4.114872678854813,4.123436388759801,0.09654548848240063,0.04893301274297373,3.544671903741564,3.5045460623418263,0.1393950775088035,0.2942935395023824,3.5356356596608536,3.62207223785705,0.4690999913744181,0.23572968248559054,3.03589629270741,3.0063170590652324,0.18156206968758398,0.16782586757958423,0.3495833333333333
