Folder,Y_Variable,X_Variable,Slope(Beta),Intercept,R_squared,p_value,Significance,N
02_コミュニティ分析\02b_因果分析\X_CCC_Score\03_コミュニティ間不均一性(CCH),CCH-CT,CCC Score,-0.07431180008348452,0.12672918681689146,0.02094615871898246,0.1508149797399595,(n.s.),100
02_コミュニティ分析\02b_因果分析\X_CCC_Score\04_時間変動性(CCTF),CCTF-CT,CCC Score,0.003939357293587053,0.12424977502227602,7.667273654361118e-05,0.9310977857170616,(n.s.),100
02_コミュニティ分析\02b_因果分析\X_CCC_Score\01_全体平均(Ave),Ave RD,CCC Score,0.04889424878965489,3.253621357293487,0.0010798231511217776,0.7455119107312822,(n.s.),100
02_コミュニティ分析\02b_因果分析\X_CCC_Score\02_コミュニティ間平均(CC-Ave),CC-Ave RD,CCC Score,-0.0282698736810129,3.2586535631774813,0.0002603327054275613,0.873408809430641,(n.s.),100
02_コミュニティ分析\02b_因果分析\X_CCC_Score\03_コミュニティ間不均一性(CCH),CCH-RD,CCC Score,-0.20178311706191507,0.2859869160322613,0.020719457078267705,0.153067304154598,(n.s.),100
02_コミュニティ分析\02b_因果分析\X_CCC_Score\04_時間変動性(CCTF),CCTF-RD,CCC Score,-0.02578819887916664,0.338896642845961,0.00043235649435773525,0.8373066458687026,(n.s.),100
02_コミュニティ分析\02b_因果分析\X_CCC_Score\01_全体平均(Ave),Ave CGT,CCC Score,-0.5301305510380833,3.808959559866047,0.13496106103889996,0.00016999600135401648,***,100
02_コミュニティ分析\02b_因果分析\X_CCC_Score\02_コミュニティ間平均(CC-Ave),CC-Ave CGT,CCC Score,-0.6544021613068898,3.8811159128335295,0.24600317614778933,1.543190475508877e-07,***,100
02_コミュニティ分析\02b_因果分析\X_CCC_Score\03_コミュニティ間不均一性(CCH),CCH-CGT,CCC Score,0.012356408957145489,0.21431950379256642,0.0001246511700196762,0.9122134670104121,(n.s.),100
02_コミュニティ分析\02b_因果分析\X_CCC_Score\04_時間変動性(CCTF),CCTF-CGT,CCC Score,0.335899015987202,0.10290701413686323,0.1108904806163112,0.0007109596262175422,***,100
02_コミュニティ分析\02b_因果分析\X_CCC_Score\01_全体平均(Ave),Ave CCU,CCC Score,0.5320454657672059,2.5020704771606312,0.07557996931222434,0.005637222144696907,**,100
02_コミュニティ分析\02b_因果分析\X_CCC_Score\02_コミュニティ間平均(CC-Ave),CC-Ave CCU,CCC Score,0.5769899014288803,2.4799694347749806,0.09162238531993702,0.0022059184144763936,**,100
02_コミュニティ分析\02b_因果分析\X_CCC_Score\03_コミュニティ間不均一性(CCH),CCH-CCU,CCC Score,-0.023781207449300096,0.10776804762913757,0.001835593665936874,0.6721156489569542,(n.s.),100
02_コミュニティ分析\02b_因果分析\X_CCC_Score\04_時間変動性(CCTF),CCTF-CCU,CCC Score,0.15824808278552055,0.18148829974374633,0.03238805342542661,0.07318087940778646,(n.s.),100
