Metric,Condition_Factor,Condition_Level,Test_Factor,t_value,F_value,df,p_value,partial_eta_sq,N0,N1
CCH-CGT,Sup,No,Sub,1.6019537167980367,2.5662557107630444,47.761064386883106,0.11575998165770139,0.05099130463899011,25,25
CCH-CGT,Sup,Yes,Sub,0.9144205811177899,0.8361649991717965,47.42550987019324,0.3651217647529347,0.017325652320089025,25,25
CCH-CGT,Sub,No,Sup,0.1597422260138918,0.025517578771873287,46.37864289274044,0.8737778173098658,0.0005498985115254617,25,25
CCH-CGT,Sub,Yes,Sup,-0.6458053223311073,0.4170645143511854,47.99704852353359,0.5214811855631526,0.008614523496998202,25,25
